Permit,Worktype,IssuedTo,Date,Address,Parcel,Units,Legal,ValuationUSD
R19-1221,BldgAlter,ANCHORAGE SOLAR,2019,3906 BARBARA,1019412000,NA,KIRCHNER LT  15  G:1727,14396
R19-1222,BldgAlter,ANCHORAGE SOLAR,2019,1527 K,109223000,NA,MARTIN AND WELCH (SOUTH ADD) BLK 43B LT  17  G:1429,14396
R19-1294,BldgAlter,ANCHORAGE SOLAR,2019,4387 BLYTHE,5075107000,NA,TERI TR   A2  G:0704,10196
R19-1317,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2213 FORAKER,119104000,NA,PARK BLK   P LT 18  G:1526,15000
R19-1318,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2910 JONES,1005106000,NA,GLEN PARK ESTATES BLK  4 LT   4  G:1625,11000
R19-1329,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,4321 RENDEZVOUS,723452000,NA,CHUGACH FOOTHILLS #2 BLK  6 LT  25  G:1741,9682
R19-1330,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,15040 OLD SEWARD,1829109000,NA,CHENOWETH LT  3  G:3134,13990
R19-1332,BldgAlter,ANCHORAGE SOLAR,2019,1335 I,109139000,NA,SOUTH ADDITION BLK 37A LT   8  G:1429,15765
R19-1334,BldgAlter,ANCHORAGE SOLAR,2019,1035 P,108404000,NA,SOUTH ADDITION BLK 15A LT   8  G:1329,16727
R19-1354,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2901 ILLIAMNA,118508000,NA,TURNAGAIN HEIGHTS TR   C LT 38  G:1527,15000
R19-1355,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2920 WILEY POST,1013135000,NA,BROADMOOR ESTATES #3 BLK  7 LT  37  G:1727,10000
R19-1356,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,4210 WORONZOF,1005370000,NA,TURNAGAIN WEST BLK  2 LT  15  G:1625,14000
R19-1368,BldgAlter,ANCHORAGE SOLAR,2019,2808 DILIGENCE,1912255000,NA,DISCOVERY LT 17A  G:2727,46665
R19-1397,BldgAlter,ANCHORAGE SOLAR,2019,E 359 24TH,220326000,NA,PEARL V SMITH BLK  2 LT   3A  G:1531,21240
R19-1398,BldgAlter,ANCHORAGE SOLAR,2019,E 225 11TH,213644000,NA,THIRD ADDITION BLK 13 LT  11  G:1331,15666
R19-1399,BldgAlter,ANCHORAGE SOLAR,2019,7240 STAMPS,1506252000,NA,SILVER CREST BLK  2 LT  21  G:2439,20800
R19-1400,BldgAlter,ANCHORAGE SOLAR,2019,1737 SCENIC,110250000,NA,SCHODDE (SOUTH ADD) BLK 32 LT  10  G:1428,16164
R19-1419,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,10005 GOODNEWS,1247130000,NA,BAYSHORE WEST #1 BLK  1 LT   9  G:2526,26598
R19-1420,BldgAlter,ANCHORAGE SOLAR,2019,W 1307 13TH,108497000,NA,SOUTH ADDITION BLK 26C LTS 11 & 12 G:1329,16444
R19-1442,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3000 MC COLLIE,118514000,NA,TURNAGAIN HEIGHTS TR  C LT   6  G:1527,15000
R19-1443,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2908 LEIGHTON,1004464000,NA,WAGNER ESTATES #3 BLK  9 LT  12  G:1626,10000
R19-1444,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2917 JONES,1005127000,NA,GLEN PARK ESTATES BLK  1 LT   7  G:1625,18000
R19-1446,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2858 KNIK,123423000,NA,TURNAGAIN HOMES BLK  I LT   5  G:1527,10000
R19-1447,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3023 KNIK,123631000,NA,TURNAGAIN HOMES BLK  H LT  19  G:1527,18000
R19-1456,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2200 MC KENZIE,119432000,NA,SIMONSON ESTATES BLK  A LT   1B  G:1526,12000
R19-1458,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2850 PRIBILOF,1005341000,NA,TURNAGAIN WEST BLK  1 LT  37  G:1625,8000
R19-1462,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2340 CAPTAIN COOK,118408000,NA,TURNAGAIN HOMES BLK  F LT  16  G:1527,18000
R19-1465,BldgAlter,ANCHORAGE SOLAR,2019,W 1401 13TH,108474000,NA,SOUTH ADDITION BLK 26D LT  11A  G:1329,15321
R19-1466,BldgAlter,ANCHORAGE SOLAR,2019,941 DAVID,107230000,NA,L STREET SLIDE REPLAT PHASE 2 BLK 13 LT   4A  G:1328,8762
R19-1467,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,4220 GALACTICA,1006144000,NA,SATELLITE PARK BLK  3 LT   3  G:1625,12000
R19-1470,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2316 SUSITNA,119220000,NA,PARK BLK   R LT  11  G:1526,10000
R19-1471,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2521 SAINT ELIAS,123616000,NA,TURNAGAIN HOMES BLK  G LT  12  G:1527,10000
R19-1472,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2336 FOREST PARK,118108000,NA,FOREST HIGHLANDS LT   3  G:1527,14000
R19-1473,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2247 ARCTIC,118206000,NA,TURNAGAIN HEIGHTS BLK   B LT 12  G:1527,19000
R19-1513,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2401 FORAKER,122244000,NA,TURNAGAIN HOMES BLK  P LT  22  G:1526,18000
R19-1514,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,4200 WORONZOF,1005369000,NA,TURNAGAIN WEST BLK  2 LT  16  G:1625,19000
R19-1515,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 2219 MARSTON,119425000,NA,SIMONSON ESTATES BLK  B LT  10  G:1526,15000
R19-1516,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3003 CARROLL,1019120000,NA,BROADMOOR ESTATES BLK  3 LT   2  G:1727,15000
R19-1518,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 3936 37TH,1014414000,NA,BROADMOOR ESTATES WEST #1 BLK  3 LT   5  G:1726,18000
R19-1519,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2527 SUSITNA,122315000,NA,TURNAGAIN HOMES BLK  Q LT  25  G:1526,9000
R19-1520,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3232 KNIK,122133000,NA,TURNAGAIN HOMES BLK  O LT   7  G:1526,19000
R19-1521,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,W 3100 29TH,1003124000,NA,MCRAE (SUBD OF LT 11) LT   3 (OF LT  11)  G:1627,9000
R19-1522,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3417 AERO,1007208000,NA,HAWTHORNE BLK  2 LT   8  G:1626,10000
R19-1523,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,6400 NORM,1406265000,NA,CARRIAGE ESTATES PHASE 1 BLK  2 LT  36  G:2034,26000
R19-1524,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,3329 STARLITE,1006165000,NA,SATELLITE PARK BLK   2 LT 22  G:1625,10000
