Permit,Worktype,IssuedTo,Date,Address,Parcel,Units,Legal,ValuationUSD
R17-1293,BldgAlter,ANCHORAGE SOLAR,4/30/17,E 5542 97TH,1507213000,1,SUMMIT ESTATES BLK   2 LT   6  G:2437,13992
R17-1294,BldgAlter,ANCHORAGE SOLAR,4/30/17,1407 INLET,109344000,1,SOUTH ADDITION BLK  35C LT   7A  G:1429,21000
C17-1493,BldgAlter,ANCHORAGE SOLAR,5/31/17,2301 SPENARD,116455000,0,ROMIG PARK BLK   4 LT   9A  G:1529,26800
R17-1474,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/17,1957 WILDWOOD,114343000,0,LINGO LT   1A  G:1428,17502
R17-1475,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/17,12800 HUFFMAN,1808149000,0,HUFFMAN HILLS NORTH BLK   2 LT   6  G:2833,12710
R17-1476,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/17,10611 TAHNEETA,1511250000,0,SHELL #1 LT   1A  G:2536,12170
R17-1573,BldgAlter,ANCHORAGE SOLAR,5/31/17,10641 ELIES,1513427000,0,LAKEWOOD HILLS #4 BLK   1 LT   5  G:2540,16128
C17-1590,BldgAlter,LIME SOLAR LLC,6/30/17,6637 ARCTIC SPUR,1208111000,0,ARCTIC INDUSTRIAL #2 BLK   1 LT  11  G:2029,60000
R17-1664,BldgAlter,ANCHORAGE SOLAR,6/30/17,17053 ARIES,2009127000,0,SUSITNA VIEW ESTATES BLK   3 LT  11  G:3336,16128
R17-1880,BldgAlter,ANCHORAGE SOLAR,7/31/17,10001 HAMPTON,1513465000,0,HAMPTON HILLS #1 BLK   2 LT  14  G:2540,13720
R17-2117,BldgAlter,ANCHORAGE SOLAR,8/31/17,16001 WIND SONG,2004290000,0,PTARMIGAN ROOST BLK   3 LT   5  G:3238,10725
R17-2124,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/17,3544 DEBARR,412301000,0,GRANDVIEW GARDENS BLK   9 LT  10  G:1435,14110
R17-2251,BldgAlter,ANCHORAGE SOLAR,8/31/17,10610 PACER,1511242000,0,O'MALLEY HEIGHTS LT   3A  G:2536,11800
R17-2268,BldgAlter,LIME SOLAR LLC,8/31/17,2421 MAYLEN,1801163000,0,HUFFMAN HILLS NORTH #2 BLK   1 LT  19  G:2833,14000
C17-2004,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,10/31/17,3800 ALUMNI,421101000,0,T13N R3W SEC 28 NE4NE4  G:1635,9900
R17-2669,BldgAlter,ANCHORAGE SOLAR,11/30/17,1709 KEPNER,623210000,0,NUNAKA VALLEY BLK   W LT   3  G:1438,13224
R18-1116,BldgAlter,ANCHORAGE SOLAR,2/28/18,2024 WILDWOOD,114202000,0,LINGO LT  30  G:1428,11580
R18-1126,BldgAlter,RENEWABLE ENERGY SYSTEMS,3/31/18,10501 LONE TREE,1532219000,0,VALLI VUE ESTATES #2 BLK   3 LT  44  G:2538,16500
R18-1162,BldgAlter,ANCHORAGE SOLAR,3/31/18,342 ORCHID,1804161000,0,BOTANICAL PARK ESTATES LT  14  G:2830,24000
R18-1163,BldgAlter,ANCHORAGE SOLAR,3/31/18,E 5165 172ND,2009246000,0,LOMA ESTATES BLK   2 LT   5  G:3337,24634
R18-1301,BldgAlter,ANCHORAGE SOLAR,4/30/18,16800 RANSOM RIDGE,2009215000,0,RANSOM RIDGE LT   5  G:3337,11328
R18-1416,BldgAlter,ANCHORAGE SOLAR,4/30/18,E 2710 20TH,415322000,0,ANCHOR PARK BLK   7 LT  22  G:1534,9882
R18-1428,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/18,6700 MACBETH,1551110000,0,MACBETH BLK   2 LT   2  G:2639,18000
R18-1496,BldgAlter,ANCHORAGE SOLAR,5/31/18,2814 ALDER,415421000,0,ANCHOR PARK BLK   7 LT  46  G:1534,10974
R18-1578,BldgAlter,ANCHORAGE SOLAR,5/31/18,E 3543 19TH,413240000,0,THUNDERBIRD TERRACE #1 BLK   7 LT  26  G:1435,6195
R18-1583,BldgAlter,ANCHORAGE SOLAR,5/31/18,E 2430 16TH,414651000,0,CITY VIEW #1 BLK   1 LT  24  G:1434,15665
R18-1584,BldgAlter,ANCHORAGE SOLAR,5/31/18,E 2318 20TH,415203000,0,ANCHOR PARK BLK   6 LT   4  G:1534,9590
R18-1585,BldgAlter,ANCHORAGE SOLAR,5/31/18,2712 KOBUK,414354000,0,CITY VIEW #3 BLK   6 LT  30  G:1434,15665
R18-1635,BldgAlter,LIME SOLAR LLC,5/31/18,7730 EASTBROOK,635548000,0,EASTBROOK BLK   1 LT  48  G:1540,4800
R18-1703,BldgAlter,ANCHORAGE SOLAR,5/31/18,2136 ALDER,415410000,0,ANCHOR PARK BLK   7 LT  35  G:1534,10383
R18-1704,BldgAlter,ANCHORAGE SOLAR,5/31/18,3039 ALDER,415506000,0,ANCHOR PARK BLK   7 LT  54 P-254 G:1534,10974
R18-1705,BldgAlter,ANCHORAGE SOLAR,5/31/18,2410 OAK,415304000,0,ANCHOR PARK BLK   7 LT   4 P-254 G:1534,7906
C18-1697,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,540 MUMFORD,404418000,0,MOUNTAIN VIEW BLK  17 LT   2 N3 E2  G:1135,16000
R18-1827,BldgAlter,ANCHORAGE SOLAR,6/30/18,E 2300 16TH,414645000,0,CITY VIEW #1 BLK   1 LT  18  G:1434,11174
R18-1828,BldgAlter,ANCHORAGE SOLAR,6/30/18,1518 AIRPORT HEIGHTS,411242000,0,SAXTON BLK   4 LT  15  G:1434,10974
R18-1832,BldgAlter,ANCHORAGE SOLAR,6/30/18,E 2709 17TH,414333000,0,CITY VIEW #3 BLK   6 LT   7  G:1434,10974
R18-1835,BldgAlter,ANCHORAGE SOLAR,6/30/18,E 2410 17TH,414561000,0,CITY VIEW #2 BLK   2 LT  13  G:1434,7906
R18-1836,BldgAlter,ANCHORAGE SOLAR,6/30/18,2129 SUNRISE,415518000,0,ANCHOR PARK BLK   7 LT  65  G:1534,7906
R18-1837,BldgAlter,ANCHORAGE SOLAR,6/30/18,E 2739 17TH,414330000,0,CITY VIEW #3 BLK   6 LT   4  G:1434,10974
R18-1838,BldgAlter,ANCHORAGE SOLAR,6/30/18,1406 SUNRISE,412607000,0,GRANDVIEW GARDENS BLK   2 LT  11B  G:1435,7145
R18-1839,BldgAlter,ANCHORAGE SOLAR,6/30/18,1820 LOGAN,414508000,0,CITY VIEW #2 BLK   3 LT  22  G:1434,8006
R18-1840,BldgAlter,ANCHORAGE SOLAR,6/30/18,1820 TOKLAT,414539000,0,CITY VIEW #2 BLK   2 LT  22  G:1434,10974
R18-1847,BldgAlter,ANCHORAGE SOLAR,6/30/18,1517 BIRCHWOOD,411223000,0,SAXTON BLK   3 LT   2  G:1434,10430
R18-1905,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,W 607 12TH,214430000,0,SOUTH ADDITION BLK  22A LT   6  G:1330,5000
R18-1906,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,9770 ATELIER,4102250000,0,TUXEDNI PARK WEST BLK   1 LT  12  G:2042,20000
R18-1907,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,1435 M,109433000,0,VIEW RIDGE (OF SOUTH ADDN) BLK  35B LT  13  G:1429,9000
R18-1908,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/18,5703 BIG BEND,1128181000,0,WESTPARK ADDN 2C BLK   3 LT  32  G:2223,6500
R18-1947,BldgAlter,ANCHORAGE SOLAR,6/30/18,W 1104 11TH,108339000,0,SOUTH ADDITION BLK  25B LT   1  G:1329,11063
R18-1992,BldgAlter,ANCHORAGE SOLAR,6/30/18,E 3154 18TH,413153000,0,THUNDERBIRD TERRACE #1 BLK   2 LT  11  G:1435,20986
R18-1993,BldgAlter,ANCHORAGE SOLAR,6/30/18,E 2400 16TH,414648000,0,CITY VIEW #1 BLK   1 LT  21  G:1434,12853
R18-1995,BldgAlter,ANCHORAGE SOLAR,6/30/18,1519 COLUMBINE,412408000,0,GRANDVIEW GARDENS BLK   8 LT  18  G:1435,15665
R18-1996,BldgAlter,ANCHORAGE SOLAR,6/30/18,1519 AIRPORT HEIGHTS,412644000,0,GRANDVIEW GARDENS BLK   4 LT   3  G:1435,10974
R18-1997,BldgAlter,ANCHORAGE SOLAR,6/30/18,1830 ALDER,414307000,0,CITY VIEW #2 BLK   8 LT  18  G:1434,7906
R18-1999,BldgAlter,ANCHORAGE SOLAR,6/30/18,2800 ALDER,415419000,0,ANCHOR PARK BLK   7 LT  44  G:1534,15665
R18-2051,BldgAlter,RENEWABLE ENERGY SYSTEMS,7/31/18,6250 CRANBERRY,1205147000,0,WILK LT   2B  G:2026,13990
R18-2052,BldgAlter,RENEWABLE ENERGY SYSTEMS,7/31/18,6300 HABICHT,607239000,0,RAVENSBRUCH BLK   1 LT   6  G:1239,20637
R18-2085,BldgAlter,ANCHORAGE SOLAR,7/31/18,1529 BIRCHWOOD,411222000,0,SAXTON BLK   3 LT   3  G:1434,13836
R18-2086,BldgAlter,ANCHORAGE SOLAR,7/31/18,2421 OAK,415215000,0,ANCHOR PARK BLK   6 LT  16  G:1534,15665
R18-2087,BldgAlter,ANCHORAGE SOLAR,7/31/18,1902 ALDER,414310000,0,CITY VIEW #2 BLK   8 LT  21  G:1434,10974
R18-2088,BldgAlter,ANCHORAGE SOLAR,7/31/18,2434 OAK,415307000,0,ANCHOR PARK BLK   7 LT   7 P-254 G:1534,14844
R18-2089,BldgAlter,ANCHORAGE SOLAR,7/31/18,E 2612 20TH,415317000,0,ANCHOR PARK BLK   7 LT  17  G:1534,10974
R18-2090,BldgAlter,ANCHORAGE SOLAR,7/31/18,3018 ALDER,415502000,0,ANCHOR PARK BLK   7 LT  73  G:1534,11075
R18-2120,BldgAlter,ANCHORAGE SOLAR,7/31/18,11009 NORTHFLEET,1916307000,0,LOOKOUT LANDING PHASE 3 BLK   2 LT  23  G:2627,15576
R18-2121,BldgAlter,ANCHORAGE SOLAR,7/31/18,230 PACIFIC VIEW,1805120000,0,OCEAN VIEW WEST #1 BLK   2 LT   4  G:2830,22066
C18-1989,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/18,E 502 FIREWEED,901454000,0,LAMPERT BLK   2 LT 33A  G:1531,46000
R18-2312,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/18,1801 TERREBONNE,1255401000,0,GRANDE TERRE BLK   1 LT   1  G:2228,19000
R18-2344,BldgAlter,ANCHORAGE SOLAR,8/31/18,1564 BIRCHWOOD,411214000,0,SAXTON BLK  10 LT  11  G:1434,10140
R18-2346,BldgAlter,ANCHORAGE SOLAR,8/31/18,1923 KUSKOKWIM,414315000,0,CITY VIEW #2 BLK   8 LT  26  G:1434,7956
R18-2384,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/18,W 121 11TH,214303000,0,THIRD ADDITION BLK  12A LT  10  G:1330,17000
R18-2386,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,8/31/18,11921 WHISPERING SPRUCE,1530120000,0,SKY RANCH ESTATES #1 BLK   5 LT  18  G:2737,21000
R18-2477,BldgAlter,ANCHORAGE SOLAR,8/31/18,16901 MOUNT MC KINLEY VIEW,2010115000,0,MT MCKINLEY VIEW ESTATES BLK   1 LT   1  G:3339,30680
R18-2636,BldgAlter,PIKE CHRISTOPHER J 50,9/30/18,1308 ANNAPOLIS,323105000,0,COLLEGE VILLAGE #10 BLK  28 LT   4  G:1632,4500
R18-2669,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,9/30/18,3650 FURROW CREEK,1704210000,0,MCMAHON BLK   3 LT  10  G:2835,20000
R18-2689,BldgAlter,ANCHORAGE SOLAR,9/30/18,W 2908 34TH,1008206000,0,TOPE LT   E  G:1627,11682
R18-2690,BldgAlter,ANCHORAGE SOLAR,9/30/18,2561 LOVEJOY,416224000,0,ANCHOR PARK BLK   1 LT  18  G:1534,13216
R18-2743,BldgAlter,ANCHORAGE SOLAR,10/31/18,1900 CHEROKEE,622349000,0,INDIAN HILLS #3 BLK   4 LT  12  G:1439,15060
R18-2773,BldgAlter,ANCHORAGE SOLAR,10/31/18,3226 UPLAND,705214000,0,HILAND TERRACE BLK   1 LT   9  G:1640,25606
R20-1043,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,1/31/20,2200 BELMONT,117361000,0,HUNTINGTON PARK #5A BLK   8 LT  20  G:1528,17000
R20-1044,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,1/31/20,W 2304 MARSTON,119505000,0,C L PLUMB LT   8  G:1526,15000
C20-1223,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,E 3521 TUDOR,802182000,0,ATHENIAN VILLAGE TR F-2A-2  G:1735,78000
R20-1209,BldgAlter,ALASKA SOLAR LLC,3/31/20,7530 LABRADOR,1107301000,0,SPORTSMENS POINT #3 BLK   4 LT   4  G:2124,14747
R20-1210,BldgAlter,ALASKA SOLAR LLC,3/31/20,8900 JUPITER,1501231000,0,ZODIAK MANOR ALASKA BLK   5 LT  18  G:2336,25487
R20-1211,BldgAlter,ALASKA SOLAR LLC,3/31/20,E 2306 74TH,1413240000,0,ALPINE VILLAGE BLK   5 LT  18A  G:2133,16877
R20-1236,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,10830 KAMISHAK BAY,1909103000,0,BAYSHORE WEST #2 BLK   4 LT  23  G:2626,13000
R20-1237,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,2227 DOUGLAS,119122000,0,PARK BLK   M LT  22  G:1526,18000
R20-1238,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,3181 MARATHON,1909223000,0,BAYSHORE WEST #3 LT  31  G:2626,18000
R20-1239,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,3800 WINTERSET,910216000,0,LAKE OTIS PARK BLK   C LT   6  G:1733,18000
R20-1240,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,3/31/20,9102 SAHALEE,1504416000,0,SAHALEE BLK   1 LT  42  G:2336,13000
R20-1241,BldgAlter,ALASKA SOLAR LLC,3/31/20,18222 WERRE,5123247000,0,T15N R1W SEC 18 LT 193B  G:1054,13888
C20-1284,BldgAlter,ALASKA SOLAR LLC,4/30/20,1801 O'MALLEY,1606263000,0,COMMODORE PARK TR   D-1  G:2533,39060
C20-1330,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,6407 ARCTIC SPUR,1202140000,0,ARCTIC INDUSTRIAL #2 BLK   1 LTS  3 & 4  G:2029,87559.2
R20-1291,BldgAlter,ALASKA SOLAR LLC,4/30/20,7436 BERN,1413313000,0,ALPINE VILLAGE BLK   4 LT   4  G:2133,14968
R20-1292,BldgAlter,ALASKA SOLAR LLC,4/30/20,14400 PRATOR,1709301000,0,ASPEN RIDGE BLK   1 LT   1  G:3039,23761
R20-1294,BldgAlter,ALASKA SOLAR LLC,4/30/20,4936 VIRGO,2009137000,0,SUSITNA VIEW ESTATES BLK   3 LT   6  G:3336,10958
R20-1307,BldgAlter,MIDNIGHT SUN SOLAR LLC,4/30/20,E 3035 112TH,1527150000,0,PTARMIGAN VIEW ESTATES LT   2  G:2634,9765
R20-1338,BldgAlter,ALASKA SOLAR LLC,4/30/20,8747 SAHALEE,1501550000,0,SAHALEE PHASE 2 BLK   2 LT  28  G:2336,20194
R20-1339,BldgAlter,ALASKA SOLAR LLC,4/30/20,8720 JUPITER,1501228000,0,ZODIAK MANOR ALASKA BLK   5 LT  21  G:2336,11996
R20-1340,BldgAlter,ALASKA SOLAR LLC,4/30/20,6212 PROMINENCE POINTE,2010277000,0,PROMINENCE POINTE PH 7 BLK   4 LT   2  G:3338,17985
R20-1341,BldgAlter,ALASKA SOLAR LLC,4/30/20,3789 HENDERSON,1408151000,0,GATEWAY BLK   1 LT  11  G:2135,6232
R20-1342,BldgAlter,ALASKA SOLAR LLC,4/30/20,20618 EDWARD,5111162000,0,OUR MOUNTAIN BLK   2 LT   4  G:1361,13332
R20-1394,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,3906 WESLEYAN,515212000,0,CASTLE HEIGHTS BLK   1 LT  12  G:1737,12502
R20-1395,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,10540 WHITBY,1140429000,0,RESOLUTION POINTE PH 3 BLK  3A LT  26  G:2525,25100
R20-1396,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,2220 SHORE,1910172000,0,SHORE CREST BLK   3 LT  16A  G:2728,24550
R20-1397,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,4859 PAVALOF,920234000,0,BANCROFT #2 BLK   3 LT  29  G:1832,18350
R20-1398,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,5224 EMMANUEL,512229000,0,COLLEGEGATE #6 BLK  13 LT  12  G:1637,19000
R20-1399,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,12020 VICTOR,1913102000,0,SEASCAPE PH 1 BLK   1 LT   1  G:2727,22180
R20-1400,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,4873 WESLEYAN,515117000,0,CASTLE HEIGHTS #1 BLK   6 LT   6  G:1737,16992
R20-1401,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,3011 AMBER BAY,1909168000,0,BAYSHORE WEST #2 BLK   2 LT   7  G:2626,20880
R20-1402,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,3708 CHECKMATE,515175000,0,CASTLE HEIGHTS #4 BLK   7 LT  14  G:1737,12000
R20-1403,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,4/30/20,8819 SAHALEE,1504452000,0,SAHALEE PHASE 2 BLK   2 LT  25  G:2336,16992
R20-1451,BldgAlter,ALASKA SOLAR LLC,5/31/20,5140 NORGAARD,1705124000,0,T12N R3W SEC 27 LT  34  G:2937,16527
R20-1452,BldgAlter,ALASKA SOLAR LLC,5/31/20,6601 MARQUEZ,1709312000,0,PRATOR BLK  12A LT   4  G:3039,22102
R20-1453,BldgAlter,ALASKA SOLAR LLC,5/31/20,6401 ITALY,2041131000,0,PARADISE VALLEY BLK   4 LT  21A-1  G:3538,13892
R20-1454,BldgAlter,ALASKA SOLAR LLC,5/31/20,E 3630 67TH,1407152000,0,CAMPBELL HEIGHTS BLK   2 LT   4B  G:2035,11996
R20-1455,BldgAlter,ALASKA SOLAR LLC,5/31/20,8416 CORMORANT COVE,1501612000,0,SAHALEE PHASE 3 BLK   2 LT  44  G:2336,27033
R20-1459,BldgAlter,RENEWABLE ENERGY SYSTEMS,5/31/20,11050 CANGE,1527155000,0,ALLEN LT   2  G:2634,19900
R20-1460,BldgAlter,RENEWABLE ENERGY SYSTEMS,5/31/20,2600 IVORY,1825101000,0,MADDUX PARK LT   1  G:3034,22500
R20-1539,BldgAlter,ALASKA SOLAR LLC,5/31/20,7840 MARINO,2055117000,0,RABBIT CREEK VIEW & HEIGHTS BLK   4H LT   3A  G:3340,7156
R20-1541,BldgAlter,ALASKA SOLAR LLC,5/31/20,6700 FERNHILL,1709131000,0,PRATOR BLK   8 LT   4  G:3039,13551
R20-1542,BldgAlter,ALASKA SOLAR LLC,5/31/20,8605 SAHALEE,1501557000,0,SAHALEE PHASE 2 BLK   2 LT  54  G:2336,17394
R20-1543,BldgAlter,ALASKA SOLAR LLC,5/31/20,8901 JUPITER,1504242000,0,ZODIAK MANOR ALASKA BLK   7 LT   5  G:2336,18255
R20-1545,BldgAlter,ALASKA SOLAR LLC,5/31/20,14600 JOANNE,1709247000,0,MELINDA VIEW ESTATES LT   4A  G:3038,12275
R20-1653,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/20,4957 WESLEYAN,515152000,0,CASTLE HEIGHTS #2 BLK   6 LT  12  G:1737,20000
R20-1654,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/20,1650 VASHON,1911527000,0,PIONEER WEST LT  27  G:2728,22000
R20-1656,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/20,14200 JARVI,1820437000,0,SUNSET HILLS WEST BLK   3 LT 13A  G:3033,22000
R20-1657,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/20,3219 WESLEYAN,512103000,0,COLLEGEGATE BLK   2 LT   6  G:1637,13000
R20-1658,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/20,N 1935 SALEM,911120000,0,UNIVERSITY PARK #1 BLK   1 LT  20  G:1733,13000
R20-1659,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/20,2501 TURNAGAIN,123638000,0,TURNAGAIN HOMES BLK   H LT  12  G:1527,8500
R20-1660,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,5/31/20,10554 WHITBY,1140430000,0,RESOLUTION POINTE PH 3 BLK  3A LT  27  G:2525,30000
R20-1725,BldgAlter,ALASKA SOLAR LLC,5/31/20,2654 LOVEJOY,416405000,0,ANCHOR PARK BLK   4 LT   5  G:1534,12633
R20-1726,BldgAlter,ALASKA SOLAR LLC,5/31/20,8841 TEMPEST,1431333000,0,RIDGECREST BLK   3 LT  14  G:2335,10080
R20-1727,BldgAlter,ALASKA SOLAR LLC,5/31/20,E 310 10TH,213618000,0,THIRD ADDITION BLK   7D LT   5  G:1331,13154
R20-1728,BldgAlter,ALASKA SOLAR LLC,5/31/20,9103 SAHALEE,1504424000,0,SAHALEE BLK   2 LT   5  G:2336,14668
R20-1729,BldgAlter,ALASKA SOLAR LLC,5/31/20,E 3030 88TH,1430103000,0,GRANITE VIEW BLK   6 LT   9  G:2334,14968
R20-1730,BldgAlter,ALASKA SOLAR LLC,5/31/20,18500 KITTIWAKE,2020150000,0,SOUTHCREEK BLK   1 LT  14  G:3537,13069
R20-1731,BldgAlter,ALASKA SOLAR LLC,5/31/20,8831 SOLAR,1504321000,0,ZODIAK MANOR ALASKA BLK   2 LT  21  G:2336,21074
R20-1732,BldgAlter,ALASKA SOLAR LLC,5/31/20,W 2305 TUDOR,1020103000,0,ROOSEVELT PARK BLK   8 LT  13  G:1728,8098
R20-1733,BldgAlter,ALASKA SOLAR LLC,5/31/20,16283 NOBLE POINT,2049234000,0,GOLDENVIEW PARK PH B2 BLK   4 LT  38  G:3236,16127
R20-1734,BldgAlter,ALASKA SOLAR LLC,5/31/20,W 1643 10TH,107236000,0,L STREET SLIDE REPLAT BLK  13 LT   7A  G:1328,17990
C20-1474,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/20,3502 SPENARD,1010346000,0,SPENARDIA LT   3  G:1629,58000
R20-1847,BldgAlter,ALASKA SOLAR LLC,6/30/20,6961 RABBIT CREEK,1709159000,0,PRATOR BLK   5 LT   2B  G:3039,13250
R20-1848,BldgAlter,ALASKA SOLAR LLC,6/30/20,4351 DE ARMOUN,1809264000,0,T12N R3W SEC 27 LT  56A REM  G:2936,22105
R20-1849,BldgAlter,ALASKA SOLAR LLC,6/30/20,2321 LEGACY,1811472000,0,HUFFMAN HILLS BLK   3 LT   6  G:2933,24900
R20-1851,BldgAlter,ALASKA SOLAR LLC,6/30/20,15927 BRIDGEVIEW,2048211000,0,GOLDENVIEW PARK PH B1 BLK   6 LT   6  G:3237,14868
R20-1852,BldgAlter,ALASKA SOLAR LLC,6/30/20,12840 FOSTER,1702303000,0,MOUNTAIN PARK ESTATES #2 BLK   4 LT   3  G:2839,7864
R20-1854,BldgAlter,ALASKA SOLAR LLC,6/30/20,16788 WATERFORD POINTE,2010317000,0,PROMINENCE POINTE PH 8 BLK   6 LT  23 THE GATES OF  GOLDENVIEW G:3338,15372
R20-1855,BldgAlter,ALASKA SOLAR LLC,6/30/20,19140 SCENIC HILL,2029140000,0,THE VILLAGES-PINE RIDGE LT   3  G:3637,18385
R20-1857,BldgAlter,ALASKA SOLAR LLC,6/30/20,8933 SAHALEE,1504438000,0,SAHALEE BLK   2 LT  19  G:2336,12699
R20-1858,BldgAlter,ALASKA SOLAR LLC,6/30/20,E 4601 145TH,1817245000,0,ELMORE #2 BLK   8 LT  12  G:3036,17755
R20-1859,BldgAlter,ALASKA SOLAR LLC,6/30/20,9140 GRANITE,1430234000,0,GRANITE VIEW BLK 11   LT 8A  G:2334,22202
R20-1892,BldgAlter,ALASKA SOLAR LLC,6/30/20,4740 NEWCASTLE,1022512000,0,WINDEMERE #2 BLK   8 LT  23  G:1829,15772
R20-1893,BldgAlter,ALASKA SOLAR LLC,6/30/20,5911 AUSTRIA,2041317000,0,PARADISE VALLEY BLK   7 LT   4  G:3538,13251
R20-1918,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/20,13940 JARVI,1815120000,0,SUNSET MANOR #2 BLK   6 LT  15  G:2932,6275
R20-1935,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/20,3208 WYOMING,1009632000,0,WOODLAND PARK #2 BLK   3 LT   5  G:1628,9000
R20-1936,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/20,3910 GENEVA,324703000,0,GENEVA WOODS BLK   5 LT   1  G:1732,11000
R20-1937,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,6/30/20,4812 WESLEYAN,515129000,0,CASTLE HEIGHTS #1 BLK   5 LT   1  G:1737,15000
R20-1995,BldgAlter,RENEWABLE ENERGY SYSTEMS,6/30/20,3521 BISQUIER,512368000,0,COLLEGEGATE #8 BLK  16 LT   7  G:1637,39654
R20-2072,BldgAlter,ALASKA SOLAR LLC,7/31/20,18790 SERENE,5031369000,0,BRAENDEL CREEK LT  22  G:0154,24806
R20-2073,BldgAlter,ALASKA SOLAR LLC,7/31/20,E 3231 144TH,1819213000,0,T12N R3W SEC 33 LT  55 S180' LESS W110'  G:3034,13851
R20-2074,BldgAlter,ALASKA SOLAR LLC,7/31/20,12752 TANADA,1802542000,0,TANAGA TERRACE BLK   2 LT  14  G:2832,6232
R20-2075,BldgAlter,ALASKA SOLAR LLC,7/31/20,8446 CORMORANT COVE,1501614000,0,SAHALEE PHASE 3 BLK   2 LT  46  G:2336,44143
R20-2076,BldgAlter,ALASKA SOLAR LLC,7/31/20,13520 WINDWARD,1838317000,0,TURNAGAIN VIEW #2 BLK   4 LT  44  G:2934,12496
R20-2077,BldgAlter,ALASKA SOLAR LLC,7/31/20,12750 TANADA,1802542000,0,TANAGA TERRACE BLK   2 LT  14  G:2832,9980
R20-2078,BldgAlter,ALASKA SOLAR LLC,7/31/20,30800 PRUDHOE BAY,5051130000,0,NORTH SLOPE BLK   1 LT   3  G:0703,14292
R20-2079,BldgAlter,ALASKA SOLAR LLC,7/31/20,18660 GENTEEL,5031354000,0,BRAENDEL CREEK LT   7  G:0154,24519
R20-2130,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,7/31/20,W 3501 NORTHERN LIGHTS,122629000,0,SIMONSON HOMESTEAD LT  18C LT   4  G:1526,18000
R20-2132,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,7/31/20,1626 GARDEN,414207000,0,SAXTON BLK   6 LT  12A  G:1434,5000
R20-2133,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,7/31/20,10210 JACKPOT BAY,1247513000,0,BAYSHORE WEST #4A BLK   2 LT   8  G:2526,15000
R20-2134,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,7/31/20,2130 WASHINGTON,1256138000,0,CONCORD HILL BLK   4 LT  36  G:2528,16000
