"formatted_address","lat","lng"
"10005 Goodnews Cir, Anchorage, AK 99515, USA",61.12983000000001,-149.9415714
"1307 W 13th Ave, Anchorage, AK 99501, USA",61.2099501,-149.908216
"3000 Mccollie Ave, Anchorage, AK 99517, USA",61.2018026,-149.9422704
"2908 Leighton St, Anchorage, AK 99517, USA",61.1938955,-149.9544768
"2917 Jones Ave, Anchorage, AK 99517, USA",61.1935482,-149.9684082
"2858 Knik Ave, Anchorage, AK 99517, USA",61.19601849999999,-149.9388457
"3023 Knik Ave, Anchorage, AK 99517, USA",61.1964551,-149.9422814
"2200 Mckenzie Dr, Anchorage, AK 99517, USA",61.1995003,-149.9508311
"2850 Pribilof St, Anchorage, AK 99517, USA",61.19425680000001,-149.9592556
"2340 Captain Cook Dr, Anchorage, AK 99517, USA",61.19947449999999,-149.9404185
"1401 W 13th Ave, Anchorage, AK 99501, USA",61.20998770000001,-149.9099171
"941 David Pl, Anchorage, AK 99501, USA",61.2128131,-149.9146342
"4220 Galactica Dr, Anchorage, AK 99517, USA",61.19131460000001,-149.9647324
"2316 Susitna Dr, Anchorage, AK 99517, USA",61.1989894,-149.9489453
"2521 St Elias Dr, Anchorage, AK 99517, USA",61.1975492,-149.9409887
"2336 Forest Park Dr, Anchorage, AK 99517, USA",61.1990877,-149.9285331
"2247 Arctic Blvd, Anchorage, AK 99503, USA",61.2001838,-149.8966842
"2401 Foraker Dr, Anchorage, AK 99517, USA",61.19881779999999,-149.9463875
"4200 Woronzof Dr, Anchorage, AK 99517, USA",61.19357939999999,-149.9634921
"2219 Marston Dr, Anchorage, AK 99517, USA",61.1996738,-149.953528
"3003 Carroll Ln, Anchorage, AK 99517, USA",61.1839367,-149.9388576
"3936 W 37th Ct, Anchorage, AK 99517, USA",61.1873921,-149.955241
"2527 Susitna Dr, Anchorage, AK 99517, USA",61.19763889999999,-149.9480548
"3232 Knik Ave, Anchorage, AK 99517, USA",61.19628780000001,-149.946131
"3100 W 29th Ave, Anchorage, AK 99517, USA",61.1942078,-149.9411208
"3417 Aero Ave, Anchorage, AK 99517, USA",61.1894797,-149.9574234
"6400 Norm Dr, Anchorage, AK 99507, USA",61.1627493,-149.823178
"3329 Starlite Cir, Anchorage, AK 99517, USA",61.19004880000001,-149.9626405
"140 Bree Ave, Anchorage, AK 99515, USA",61.10513309999999,-149.8812558
"4150 Horizon Ave, Anchorage, AK 99517, USA",61.1919176,-149.9624593
"1327 P St, Anchorage, AK 99501, USA",61.209135,-149.9113311
"13265 Badger Ln, Anchorage, AK 99516, USA",61.1010017,-149.7798839
"13720 Jarvi Dr, Anchorage, AK 99515, USA",61.09556529999999,-149.8548977
"816 W 16th Ave, Anchorage, AK 99501, USA",61.2058647,-149.8986795
"1334 G St, Anchorage, AK 99501, USA",61.20898669999999,-149.8961056
"1522 Coffey Ln, Anchorage, AK 99501, USA",61.20707569999999,-149.9046169
"1451 W 13th Ave, Anchorage, AK 99501, USA",61.20985229999999,-149.9116665
"1312 E 15th Ave, Anchorage, AK 99501, USA",61.20739200000001,-149.8585126
"Lovejoy Dr, Anchorage, AK 99508, USA",61.1961472,-149.8343351
"10650 Lone Tree Dr, Anchorage, AK 99507, USA",61.1237858,-149.7609118
"6747 Double Tree Ct, Anchorage, AK 99507, USA",61.1244737,-149.7565473
"5323 Keuka Ct, Anchorage, AK 99508, USA",61.1909413,-149.7824902
"1134 H St, Anchorage, AK 99501, USA",61.210976,-149.8980078
"1130 S St, Anchorage, AK 99501, USA",61.21104690000001,-149.916472
"1651 Sunrise Dr, Anchorage, AK 99508, USA",61.20521909999999,-149.823987
"2303 McRae Rd, Anchorage, AK 99517, USA",61.18604019999999,-149.9252181
"1515 E 15th Ave, Anchorage, AK 99501, USA",61.2077532,-149.8544223
"1555 E St, Anchorage, AK 99501, USA",61.2065642,-149.8909413
"1301 Heidi Cir, Anchorage, AK 99518, USA",61.1581606,-149.9036834
"940 P St, Anchorage, AK 99501, USA",61.2128556,-149.9125395
"1434 W 11th Ave, Anchorage, AK 99501, USA",61.21147610000001,-149.9112235
"1133 N St, Anchorage, AK 99501, USA",61.2110192,-149.9075018
"3600 Wyoming Dr, Anchorage, AK 99517, USA",61.1878635,-149.9164071
"1141 M St, Anchorage, AK 99501, USA",61.21166780000001,-149.9057624
"10340 Kasilof Blvd, Anchorage, AK 99507, USA",61.1278499,-149.7225284
"4130 Defiance St, Anchorage, AK 99504, USA",61.18318219999999,-149.7706639
"1729 W 11th Ave, Anchorage, AK 99501, USA",61.2118787,-149.9176081
"8615 Cormorant Cove Cir, Anchorage, AK 99507, USA",61.1427268,-149.7898353
"1113 N St, Anchorage, AK 99501, USA",61.2114533,-149.9074234
"2613 Arlington Dr, Anchorage, AK 99517, USA",61.1964759,-149.9209401
"2131 Mckenzie Dr, Anchorage, AK 99517, USA",61.20006609999999,-149.9498489
"2315 Douglas Dr, Anchorage, AK 99517, USA",61.19923189999999,-149.9445786
"3816 Knik Ave, Anchorage, AK 99517, USA",61.1965349,-149.9564712
"2551 Foraker Dr, Anchorage, AK 99517, USA",61.1970809,-149.9462855
"1775 Forest Park Dr, Anchorage, AK 99517, USA",61.2056365,-149.925656
"3230 W 31st Ave, Anchorage, AK 99517, USA",61.19236,-149.9444807
"2001 Hillcrest Dr, Anchorage, AK 99517, USA",61.20304789999999,-149.9233078
"Spurr Ln, Anchorage, AK 99517, USA",61.1986763,-149.9560547
"11800 Nebesna Dr, Anchorage, AK 99507, USA",61.11363189999999,-149.7434429
"1614 Hidden Ln, Anchorage, AK 99501, USA",61.2063181,-149.913404
"1594 Garden St, Anchorage, AK 99508, USA",61.2062793,-149.825637
"1536 E 14th Ave, Anchorage, AK 99501, USA",61.2086954,-149.8546246
"1327 H St, Anchorage, AK 99501, USA",61.20913890000001,-149.8971393
"14111 Sunview Dr, Anchorage, AK 99515, USA",61.0929448,-149.8392243
"1429 W 12th Ave, Anchorage, AK 99501, USA",61.21090939999999,-149.910966
"1406 W 13th Ave, Anchorage, AK 99501, USA",61.2095304,-149.9102706
"920 R St, Anchorage, AK 99501, USA",61.2130458,-149.9139352
"1517 E 15th Ave, Anchorage, AK 99501, USA",61.20775310000001,-149.8543892
"1529 E St, Anchorage, AK 99501, USA",61.2070362,-149.8910177
"24242 Alpenglow Dr, Eagle River, AK 99577, USA",61.2966476,-149.4292855
"9410 Nettleton Dr, Anchorage, AK 99507, USA",61.1355593,-149.7452964
"17001 Aries Ct, Anchorage, AK 99516, USA",61.06662029999999,-149.78978
"1319 W 11th Ave, Anchorage, AK 99501, USA",61.2119027,-149.908796
"1426 G St, Anchorage, AK 99501, USA",61.2081561,-149.8962109
"3735 W 35th Ave, Anchorage, AK 99517, USA",61.1891764,-149.9553572
"2439 Douglas Dr, Anchorage, AK 99517, USA",61.1982124,-149.9445277
"3640 Clay Products Dr, Anchorage, AK 99517, USA",61.19736869999999,-149.9536484
"2437 Loussac Dr, Anchorage, AK 99517, USA",61.1984715,-149.934073
"1601 Kepner Dr, Anchorage, AK 99504, USA",61.2061548,-149.7671081
"3620 Clay Products Dr, Anchorage, AK 99517, USA",61.19729169999999,-149.9529968
"2100 Foraker Dr, Anchorage, AK 99517, USA",61.2005368,-149.9478591
"1342 W 12th Ave, Anchorage, AK 99501, USA",61.21047419999999,-149.9100103
"3764 Henderson Loop, Anchorage, AK 99507, USA",61.1564478,-149.8132095
"1123 I St, Anchorage, AK 99501, USA",61.211186,-149.8988352
"1351 U St, Anchorage, AK 99501, USA",61.2084123,-149.9207864
"1353 U St, Anchorage, AK 99501, USA",61.20872739999999,-149.9195517
"2205 Hiland Rd, Eagle River, AK 99577, USA",61.2407713,-149.4516106
"923 E St, Anchorage, AK 99501, USA",61.2133322,-149.8911654
"2261 Foxhall Dr, Anchorage, AK 99504, USA",61.2002167,-149.7525693
"2727 Hiland Rd, Eagle River, AK 99577, USA",61.24500699999999,-149.4564432
"1322 N St, Anchorage, AK 99501, USA",61.2091272,-149.9082615
"3332 W 83rd Ave, Anchorage, AK 99502, USA",61.14547820000001,-149.9418065
"3116 Princeton Way, Anchorage, AK 99508, USA",61.1917151,-149.8485355
"621 E 15th Ave, Anchorage, AK 99501, USA",61.20792290000001,-149.8726686
"2727 Hiland Rd, Eagle River, AK 99577, USA",61.24500699999999,-149.4564432
"3861 Chiniak Bay Dr, Anchorage, AK 99515, USA",61.1247053,-149.95395
"3561 Nova Cir, Anchorage, AK 99517, USA",61.18824739999999,-149.9628323
"2112 Esquire Dr, Anchorage, AK 99517, USA",61.2013986,-149.9263465
"2266 St Elias Dr, Anchorage, AK 99517, USA",61.19992869999999,-149.9420718
"3850 Knik Ave, Anchorage, AK 99517, USA",61.19682289999999,-149.956568
"3724 Knik Ave, Anchorage, AK 99517, USA",61.1964256,-149.9551472
"2513 Lord Baranof Dr, Anchorage, AK 99517, USA",61.19762100000001,-149.9359245
"4100 Balchen Dr, Anchorage, AK 99517, USA",61.1838058,-149.940588
"2100 Foraker Dr, Anchorage, AK 99517, USA",61.2005368,-149.9478591
"1210 N St, Anchorage, AK 99501, USA",61.21038799999999,-149.9081163
"3404 Lakeside Dr, Anchorage, AK 99515, USA",61.13117069999999,-149.9431428
"1228 E 15th Ave, Anchorage, AK 99501, USA",61.2076437,-149.8601626
"1525 Hidden Ln, Anchorage, AK 99501, USA",61.20722790000001,-149.9142409
"115 W 11th Ave, Anchorage, AK 99501, USA",61.2118961,-149.8839487
"2825 E 18th Ave, Anchorage, AK 99508, USA",61.2045459,-149.8276098
"1518 K St, Anchorage, AK 99501, USA",61.2073321,-149.9023132
"2108 W 46th Ave, Anchorage, AK 99517, USA",61.17875180000001,-149.9228011
"2423 Marston Dr, Anchorage, AK 99517, USA",61.19852479999999,-149.9539417
"2426 Susitna Dr, Anchorage, AK 99517, USA",61.1983852,-149.9489457
"4046 Westwood Dr, Anchorage, AK 99517, USA",61.1964378,-149.9600428
"2831 Wiley Post Ave, Anchorage, AK 99517, USA",61.1874668,-149.9369946
"2501 Susitna Dr, Anchorage, AK 99517, USA",61.19801649999999,-149.9479512
"3205 Wyoming Dr, Anchorage, AK 99517, USA",61.19118590000001,-149.9164015
"5701 Yukon Charlie Loop, Anchorage, AK 99502, USA",61.1498159,-149.9854547
"4010 Woronzof Dr, Anchorage, AK 99517, USA",61.19371919999999,-149.9600436
"6912 Cutty Sark St, Anchorage, AK 99502, USA",61.15794829999999,-149.9582376
"9750 Chenega Dr, Anchorage, AK 99507, USA",61.16375189999999,-149.7032439
"1628 Woodcutter Ct, Anchorage, AK 99507, USA",61.1685063,-149.8517779
"2271 Belmont Dr, Anchorage, AK 99517, USA",61.2001948,-149.9207019
"3756 Henderson Loop, Anchorage, AK 99507, USA",61.15661530000001,-149.8131622
"1848 N Salem Dr, Anchorage, AK 99508, USA",61.1838679,-149.8460206
"8521 Pioneer Dr, Anchorage, AK 99504, USA",61.1836254,-149.7234994
"1411 Atkinson Dr, Anchorage, AK 99504, USA",61.2082966,-149.7665015
"3737 Coventry Dr, Anchorage, AK 99507, USA",61.14565049999999,-149.8132932
"5201 Taurus Cir, Anchorage, AK 99516, USA",61.0683794,-149.783229
"8212 Race Cir, Anchorage, AK 99504, USA",61.1858105,-149.7267031
"5542 E 97th Ave, Anchorage, AK 99507, USA",61.1324095,-149.7783229
"1407 Inlet Pl, Anchorage, AK 99501, USA",61.20865569999999,-149.9042234
"2301 Spenard Rd, Anchorage, AK 99503, USA",61.19998260000001,-149.9061404
"1957 Wildwood Ln, Anchorage, AK 99517, USA",61.20332879999999,-149.9207488
"12800 Huffman Rd, Anchorage, AK 99516, USA",61.10860700000001,-149.7445369
"10611 Tahneeta Dr, Anchorage, AK 99507, USA",61.12449030000001,-149.7989562
"10641 Elies Dr, Anchorage, AK 99507, USA",61.12442919999999,-149.7383847
"6637 Arctic Spur Rd, Anchorage, AK 99518, USA",61.1602755,-149.8951757
"17053 Aries Ct, Anchorage, AK 99516, USA",61.0657167,-149.7906093
"10001 Hampton Dr, Anchorage, AK 99507, USA",61.13011110000001,-149.7395554
"16001 Wind Song Dr, Anchorage, AK 99516, USA",61.07580249999999,-149.7626801
"3544 DeBarr Rd, Anchorage, AK 99508, USA",61.2095209,-149.8146562
"10610 Pacer Pl, Anchorage, AK 99507, USA",61.1246519,-149.7982114
"2421 Maylen Cir, Anchorage, AK 99516, USA",61.10572990000001,-149.8365397
"Administrative/Humanities Building, 3800 Alumni Dr, Anchorage, AK 99508, USA",61.1918458,-149.8145754
"1709 Kepner Dr, Anchorage, AK 99504, USA",61.2043236,-149.7689512
"2024 Wildwood Ln, Anchorage, AK 99517, USA",61.20352020000001,-149.9235914
"10501 Lone Tree Dr, Anchorage, AK 99507, USA",61.1257713,-149.7628334
"342 Orchid Cir, Anchorage, AK 99515, USA",61.10721340000001,-149.8856305
"5165 E 172nd Ave, Anchorage, AK 99516, USA",61.0655756,-149.7861558
"16800 Ransom Ridge Rd, Anchorage, AK 99516, USA",61.06816010000001,-149.7776424
"2710 E 20th Ave, Anchorage, AK 99508, USA",61.20232490000001,-149.8314976
"6700 MacBeth Dr, Anchorage, AK 99516, USA",61.12037909999999,-149.7562917
"2814 Alder Dr, Anchorage, AK 99508, USA",61.1998039,-149.8278173
"3543 E 19th Ave, Anchorage, AK 99508, USA",61.2041304,-149.8144706
"2430 E 16th Ave, Anchorage, AK 99508, USA",61.2059373,-149.8353346
"2318 E 20th Ave, Anchorage, AK 99508, USA",61.20229699999999,-149.8373404
"2712 Kobuk Ct, Anchorage, AK 99508, USA",61.2054191,-149.8303467
"7730 Eastbrook Dr, Anchorage, AK 99504, USA",61.1995332,-149.7373248
"2136 Alder Dr, Anchorage, AK 99508, USA",61.20116590000001,-149.8292703
"3039 Alder Dr, Anchorage, AK 99508, USA",61.199911,-149.8269159
"2410 Oak Dr, Anchorage, AK 99508, USA",61.201452,-149.8364012
"540 Mumford St, Anchorage, AK 99508, USA",61.22861380000001,-149.8145664
"2300 E 16th Ave, Anchorage, AK 99508, USA",61.2057897,-149.8374036
"1518 Airport Heights Dr, Anchorage, AK 99508, USA",61.20752090000001,-149.8238097
"2709 E 17th Ave, Anchorage, AK 99508, USA",61.2050248,-149.8316153
"2410 E 17th Ave, Anchorage, AK 99508, USA",61.2050515,-149.8362432
"2129 Sunrise Dr, Anchorage, AK 99508, USA",61.20129790000001,-149.8271071
"2739 E 17th Ave, Anchorage, AK 99508, USA",61.205136,-149.8304254
"1406 Sunrise Dr, Anchorage, AK 99508, USA",61.2085577,-149.8201345
"1820 Logan St, Anchorage, AK 99508, USA",61.20387709999999,-149.8339212
"1820 Toklat St, Anchorage, AK 99508, USA",61.20387489999999,-149.8354354
"1517 Birchwood St, Anchorage, AK 99508, USA",61.2075274,-149.8268209
"607 W 12th Ave, Anchorage, AK 99501, USA",61.2108393,-149.8939492
"9770 Atelier Dr, Anchorage, AK 99507, USA",61.16606359999999,-149.7132236
"1435 M St, Anchorage, AK 99501, USA",61.2080717,-149.9058105
"5703 Big Bend Loop, Anchorage, AK 99502, USA",61.14426760000001,-149.9854012
"1104 W 11th Ave, Anchorage, AK 99501, USA",61.2114923,-149.9040302
"3154 E 18th Cir, Anchorage, AK 99508, USA",61.20444009999999,-149.821224
"2400 E 16th Ave, Anchorage, AK 99508, USA",61.2059271,-149.8363568
"1519 Columbine St, Anchorage, AK 99508, USA",61.2074159,-149.8173315
"1519 Airport Heights Dr, Anchorage, AK 99508, USA",61.20742609999999,-149.8229168
"1830 Alder Dr, Anchorage, AK 99508, USA",61.2037005,-149.8293217
"2800 Alder Dr, Anchorage, AK 99508, USA",61.1998845,-149.8285353
"6250 Cranberry St, Anchorage, AK 99502, USA",61.1638689,-149.93745
"6300 Habicht Ct, Anchorage, AK 99504, USA",61.21759119999999,-149.7629306
"1529 Birchwood St, Anchorage, AK 99508, USA",61.20735739999999,-149.8267441
"2421 Oak Dr, Anchorage, AK 99508, USA",61.20186090000001,-149.8361789
"1902 Alder Dr, Anchorage, AK 99508, USA",61.2031883,-149.8293504
"2434 Oak Dr, Anchorage, AK 99508, USA",61.20162870000001,-149.8355917
"2612 E 20th Ave, Anchorage, AK 99508, USA",61.2023088,-149.8330747
"3018 Alder Dr, Anchorage, AK 99508, USA",61.199911,-149.8269159
"11009 Northfleet Dr, Anchorage, AK 99515, USA",61.12079730000001,-149.9262756
"230 Pacific View Dr, Anchorage, AK 99515, USA",61.10451339999999,-149.8836542
"502 E Fireweed Ln, Anchorage, AK 99503, USA",61.1973678,-149.873959
"1801 Terrebonne Loop, Anchorage, AK 99502, USA",61.1497311,-149.9149578
"1564 Birchwood St, Anchorage, AK 99508, USA",61.2066603,-149.8276005
"1923 Kuskokwim St, Anchorage, AK 99508, USA",61.20285119999999,-149.830151
"121 W 11th Ave, Anchorage, AK 99501, USA",61.2118943,-149.884161
"11921 Whispering Spruce Cir, Anchorage, AK 99516, USA",61.11292150000001,-149.7787787
"16901 Mt McKinley View Dr, Anchorage, AK 99516, USA",61.0677786,-149.7507853
"1308 Annapolis Dr, Anchorage, AK 99508, USA",61.19179519999999,-149.8577995
"3650 Furrow Creek Rd, Anchorage, AK 99516, USA",61.1056159,-149.8141669
"2908 W 34th Ave, Anchorage, AK 99517, USA",61.18961409999999,-149.9377872
"2561 Lovejoy Dr, Anchorage, AK 99508, USA",61.1975728,-149.8345166
"1900 Cherokee Way, Anchorage, AK 99504, USA",61.2037298,-149.7533214
"3226 Upland Dr, Anchorage, AK 99504, USA",61.1908494,-149.7431966
"2200 Belmont Dr, Anchorage, AK 99517, USA",61.20046070000001,-149.922407
"2304 Marston Dr, Anchorage, AK 99517, USA",61.1991249,-149.9544484
"3521 E Tudor Rd, Anchorage, AK 99507, USA",61.1820672,-149.814158
"7530 Labrador Cir, Anchorage, AK 99502, USA",61.1524354,-149.9739249
"8900 Jupiter Dr, Anchorage, AK 99507, USA",61.14091329999999,-149.7973373
"2306 E 74th Ave, Anchorage, AK 99507, USA",61.1535507,-149.8393451
"10830 Kamishak Bay Cir, Anchorage, AK 99515, USA",61.1229767,-149.9502782
"2227 Douglas Dr, Anchorage, AK 99517, USA",61.199685,-149.9445783
"3181 Marathon Cir, Anchorage, AK 99515, USA",61.1224858,-149.9391302
"3800 Winterset Dr, Anchorage, AK 99508, USA",61.1860296,-149.8523682
"9102 Sahalee Dr, Anchorage, AK 99507, USA",61.1385877,-149.7911366
"18222 Werre St, Chugiak, AK 99567, USA",61.38501580000001,-149.5267322
"1801 O'Malley Rd, Anchorage, AK 99507, USA",61.1240654,-149.8476803
"6407 Arctic Spur Rd, Anchorage, AK 99518, USA",61.1629357,-149.8951159
"7436 Bern St, Anchorage, AK 99507, USA",61.153057,-149.8403603
"14400 Prator St, Anchorage, AK 99516, USA",61.09027279999999,-149.7563969
"4936 Virgo Ave, Anchorage, AK 99516, USA",61.06775109999999,-149.7894643
"3035 E 112th Ave, Anchorage, AK 99516, USA",61.1196721,-149.8256481
"8747 Sahalee Dr, Anchorage, AK 99507, USA",61.1413399,-149.7898304
"8720 Jupiter Dr, Anchorage, AK 99507, USA",61.1416941,-149.7970031
"6212 Prominence Pointe Dr, Anchorage, AK 99516, USA",61.0713582,-149.7654919
"3789 Henderson Loop, Anchorage, AK 99507, USA",61.15593859999999,-149.812286
"Edward St, Anchorage, AK 99504, USA",61.2129907,-149.7634417
"3906 Wesleyan Dr, Anchorage, AK 99508, USA",61.1857155,-149.792807
"10540 Whitby Cir, Anchorage, AK 99515, USA",61.1250178,-149.9561537
"2220 Shore Dr, Anchorage, AK 99515, USA",61.1112866,-149.9211318
"4859 Pavalof St, Anchorage, AK 99507, USA",61.17638799999999,-149.8549611
"5224 Emmanuel Ave, Anchorage, AK 99508, USA",61.1895104,-149.7844612
"12020 Victor Rd, Anchorage, AK 99515, USA",61.1116838,-149.9223423
"4873 Wesleyan Dr, Anchorage, AK 99508, USA",61.1851054,-149.7899159
"3011 Amber Bay Loop, Anchorage, AK 99515, USA",61.1222752,-149.9447046
"3708 Checkmate Dr, Anchorage, AK 99508, USA",61.1869646,-149.7853825
"8819 Sahalee Dr, Anchorage, AK 99507, USA",61.14069840000001,-149.7898857
"5140 Norgaard Rd, Anchorage, AK 99516, USA",61.09638329999999,-149.7857759
"6601 Marquez Cir, Anchorage, AK 99516, USA",61.0922587,-149.7587284
"6401 Italy Cir, Anchorage, AK 99516, USA",61.0544041,-149.7628712
"3630 E 67th Ave, Anchorage, AK 99507, USA",61.1599,-149.8142803
"8416 Cormorant Cove Cir, Anchorage, AK 99507, USA",61.1445692,-149.7910765
"11050 Cange St, Anchorage, AK 99516, USA",61.12062419999999,-149.8198929
"2600 Ivory Dr, Anchorage, AK 99516, USA",61.09027589999999,-149.833491
"7840 Marino Dr, Anchorage, AK 99516, USA",61.071411,-149.735297
"6700 Fernhill Ave, Anchorage, AK 99516, USA",61.08857080000001,-149.7564925
"8605 Sahalee Dr, Anchorage, AK 99507, USA",61.14309890000001,-149.7918592
"8901 Jupiter Dr, Anchorage, AK 99507, USA",61.14101340000001,-149.7962843
"14600 Joanne Cir, Anchorage, AK 99516, USA",61.08909079999999,-149.7694251
"4957 Wesleyan Dr, Anchorage, AK 99508, USA",61.1858769,-149.7887486
"1650 Vashon Cir, Anchorage, AK 99515, USA",61.11471640000001,-149.9108629
"14200 Jarvi Dr, Anchorage, AK 99515, USA",61.0925345,-149.8483076
"3219 Wesleyan Dr, Anchorage, AK 99508, USA",61.19135600000001,-149.7911472
"1935 N Salem Dr, Anchorage, AK 99508, USA",61.184243,-149.8444689
"2501 Turnagain Pkwy, Anchorage, AK 99517, USA",61.19787139999999,-149.9427194
"10554 Whitby Cir, Anchorage, AK 99515, USA",61.12501760000001,-149.9557413
"2654 Lovejoy Dr, Anchorage, AK 99508, USA",61.1965301,-149.8347342
"8841 Tempest Cir, Anchorage, AK 99507, USA",61.14038339999999,-149.8122239
"310 W 10th Ave, Anchorage, AK 99501, USA",61.212456,-149.8879989
"9103 Sahalee Dr, Anchorage, AK 99507, USA",61.13877369999999,-149.7898453
"3030 W 88th Ave, Anchorage, AK 99502, USA",61.1409229,-149.9359777
"18500 Kittiwake Cir, Anchorage, AK 99516, USA",61.0533709,-149.7752657
"8831 Solar Dr, Anchorage, AK 99507, USA",61.1401758,-149.8020954
"2305 W Tudor Rd, Anchorage, AK 99517, USA",61.1810756,-149.925096
"16283 Noble Point Dr, Anchorage, AK 99516, USA",61.0737115,-149.7899437
"1643 W 10th Ave, Anchorage, AK 99501, USA",61.2127922,-149.915267
"3502 Spenard Rd, Anchorage, AK 99503, USA",61.1887402,-149.909261
"6961 Rabbit Creek Rd, Anchorage, AK 99516, USA",61.0917178,-149.7532684
"4351 De Armoun Rd, Anchorage, AK 99516, USA",61.09461209999999,-149.8007721
"2321 Legacy Dr, Anchorage, AK 99516, USA",61.1013202,-149.8392909
"15927 Bridgeview Dr, Anchorage, AK 99516, USA",61.0761377,-149.7867097
"12840 Foster Rd, Anchorage, AK 99516, USA",61.10438430000001,-149.7494665
"16788 Waterford Pointe Cir, Anchorage, AK 99516, USA",61.06950690000001,-149.7641136
"19140 Scenic Hill Cir, Anchorage, AK 99516, USA",61.0484362,-149.7782159
"8933 Sahalee Dr, Anchorage, AK 99507, USA",61.13983460000001,-149.7919037
"4601 E 145th Ave, Anchorage, AK 99516, USA",61.0896989,-149.7961616
"9140 Granite Pl, Anchorage, AK 99507, USA",61.1379542,-149.8252269
"4740 Newcastle Way, Anchorage, AK 99503, USA",61.1777261,-149.9040403
"5911 Austria Dr, Anchorage, AK 99516, USA",61.0576441,-149.7719688
"13940 Jarvi Dr, Anchorage, AK 99515, USA",61.09426829999999,-149.8521868
"3208 Wyoming Dr, Anchorage, AK 99517, USA",61.19099809999999,-149.9174868
"3910 Geneva Pl, Anchorage, AK 99508, USA",61.18610609999999,-149.8593569
"4812 Wesleyan Dr, Anchorage, AK 99508, USA",61.1851668,-149.7922157
"3521 Bisquier Dr, Anchorage, AK 99508, USA",61.1881381,-149.7868748
"18790 Serene Cir, Eagle River, AK 99577, USA",61.3204109,-149.5315184
"3231 E 144th Ave, Anchorage, AK 99516, USA",61.09091979999999,-149.8213326
"12752 Tanada Loop, Anchorage, AK 99515, USA",61.1055295,-149.8514444
"8446 Cormorant Cove Cir, Anchorage, AK 99507, USA",61.14393699999999,-149.7910672
"13520 Windward Ct, Anchorage, AK 99516, USA",61.09814830000001,-149.8261884
"12750 Tanada Loop, Anchorage, AK 99515, USA",61.1055679,-149.8514797
"30800 Prudhoe Bay Ave, Eagle River, AK 99577, USA",61.25362699999999,-149.307143
"18660 Genteel Cir, Eagle River, AK 99577, USA",61.320714,-149.536318
"3501 E Northern Lights Blvd, Anchorage, AK 99508, USA",61.1989165,-149.8201707
"1626 Garden St, Anchorage, AK 99508, USA",61.20552409999999,-149.8256404
"10210 Jackpot Bay Cir, Anchorage, AK 99515, USA",61.1284125,-149.9382472
"2130 Washington Ave, Anchorage, AK 99515, USA",61.12605769999999,-149.9193774
"9856 Poseidon Dr, Anchorage, AK 99515, USA",61.131242,-149.9140319
"8949 Sahalee Dr, Anchorage, AK 99507, USA",61.1395898,-149.7921374
"4140 Terrace Dr, Anchorage, AK 99502, USA",61.157561,-149.9572055
