"formatted_address","lat","lng"
"Administrative/Humanities Building, 3800 Alumni Dr, Anchorage, AK 99508, USA",61.1918458,-149.8145754
"1230 W 11th Ave, Anchorage, AK 99501, USA",61.2114152,-149.9070615
"1008 W 30th Ave, Anchorage, AK 99503, USA",61.1929041,-149.9024792
"2303 McRae Rd, Anchorage, AK 99517, USA",61.18604019999999,-149.9252181
"14861 Mountain Air Dr, Anchorage, AK 99516, USA",61.0861984,-149.752238
"307 E 24th Ave, Anchorage, AK 99503, USA",61.1993937,-149.8785276
"5840 De Armoun Rd, Anchorage, AK 99516, USA",61.0983269,-149.7729153
"220 Pacific View Dr, Anchorage, AK 99515, USA",61.1044563,-149.8832163
"1334 N St, Anchorage, AK 99501, USA",61.2090018,-149.9082536
"10640 Lone Tree Dr, Anchorage, AK 99507, USA",61.12357919999999,-149.7613002
"9400 Sugar Cir, Anchorage, AK 99507, USA",61.13546909999999,-149.7320568
"3737 Coventry Dr, Anchorage, AK 99507, USA",61.14565049999999,-149.8132932
"2022 Brandilyn St, Anchorage, AK 99516, USA",61.11243819999999,-149.8435479
"3906 Barbara Dr, Anchorage, AK 99517, USA",61.18417779999999,-149.9330464
"1527 K St, Anchorage, AK 99501, USA",61.20716100000001,-149.9012021
"4387 Blythe Way, Eagle River, AK 99577, USA",61.25971829999999,-149.2930479
"2213 Foraker Dr, Anchorage, AK 99517, USA",61.1997145,-149.9462448
"2910 Jones Ave, Anchorage, AK 99517, USA",61.194032,-149.9686408
"4321 Rendezvous Cir, Anchorage, AK 99504, USA",61.18263409999999,-149.7198881
"15040 Old Seward Hwy, Anchorage, AK 99516, USA",61.0846598,-149.8306189
"1335 I St, Anchorage, AK 99501, USA",61.20897120000001,-149.8991302
"1035 P St, Anchorage, AK 99501, USA",61.2119332,-149.9113423
"2901 Illiamna Ave, Anchorage, AK 99517, USA",61.2013255,-149.9416054
"2920 Wiley Post Ave, Anchorage, AK 99517, USA",61.18714549999999,-149.9383895
"4210 Woronzof Dr, Anchorage, AK 99517, USA",61.19359840000001,-149.9637762
"2808 Diligence Cir, Anchorage, AK 99515, USA",61.11384229999999,-149.932183
"359 E 24th Ave, Anchorage, AK 99503, USA",61.19935390000001,-149.8769253
"225 W 11th Ave, Anchorage, AK 99501, USA",61.211883,-149.8867466
"7240 Stamps Cir, Anchorage, AK 99507, USA",61.1342595,-149.7461574
"1737 Scenic Way, Anchorage, AK 99501, USA",61.20897069999999,-149.9172508
