Permit,Worktype,IssuedTo,Date,year,Address,Parcel,Units,Legal,Valuation
C19-1175,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3800 ALUMNI DRIVE, Anchorage, Alaska",421101000,NA,T13N R3W SEC 28 NE4NE4 G:1635,"18,000.00"
C19-1234,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1230 11TH, Anchorage, Alaska",108360000,NA,SOUTH ADDITION BLK 25A LT  13A  G:1329,"15,915.00"
C19-1489,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1008 30TH, Anchorage, Alaska",1001625000,NA,NELS SAND TR  4 E50' & TR 5 W10'  G:1629,"11,151.00"
C19-1587,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2303 MC RAE, Anchorage, Alaska",1012317000,NA,LINTNER LT 37  G:1728,"21,949.00"
C19-1662,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"14861 MOUNTAIN AIR, Anchorage, Alaska",1721134000,NA,MOUNTAIN AIR ESTATES #2 TR  B1-A  G:3139,"20,000.00"
C19-1664,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"E 307 24TH, Anchorage, Alaska",220330000,NA,PEARL V SMITH BLK  2 LT   7A  G:1531,"17,000.00"
R19-1151,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"5840 DE ARMOUN, Anchorage, Alaska",1706103000,NA,MOUNTAIN PARK ESTATES BLK  2 LT   3  G:2938,"16,000.00"
R19-1152,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"220 PACIFIC VIEW, Anchorage, Alaska",1805119000,NA,OCEAN VIEW WEST #1 BLK  2 LT   3  G:2830,"20,000.00"
R19-1181,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1334 N, Anchorage, Alaska",109605000,NA,VIEW RIDGE (OF SOUTH ADDN) BLK 34B LT,"14,396.00"
R19-1182,BldgAlter,ANCHORAGE SOLAR,2019,2019,"10640 LONE TREE, Anchorage, Alaska",1532254000,NA,VALLI VUE ESTATES #2 BLK  2 LT   4  G:2538,"12,744.00"
R19-1183,BldgAlter,ANCHORAGE SOLAR,2019,2019,"9400 SUGAR CIRCLE, Anchorage, Alaska",1509327000,NA,CONIFER HEIGHTS BLK   2 LT 10  G:2440,"13,836.00"
R19-1185,BldgAlter,ANCHORAGE SOLAR,2019,2019,"3737 COVENTRY, Anchorage, Alaska",1423335000,NA,WINCHESTER HEIGHTS BLK  4 LT  11  G:2235,"12,903.00"
R19-1191,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2022 BRANDILYN, Anchorage, Alaska",1617277000,NA,BROOKWOOD HILLS BLK  2 LT   4  G:2733,"13,629.00"
R19-1221,BldgAlter,ANCHORAGE SOLAR,2019,2019,"3906 BARBARA DRIVE, Anchorage, Alaska",1019412000,NA,KIRCHNER LT  15  G:1727,"14,396.00"
R19-1222,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1527 K, Anchorage, Alaska",109223000,NA,MARTIN AND WELCH (SOUTH ADD) BLK 43B LT  17  G:1429,"14,396.00"
R19-1294,BldgAlter,ANCHORAGE SOLAR,2019,2019,"4387 BLYTHE, Anchorage, Alaska",5075107000,NA,TERI TR   A2  G:0704,"10,196.00"
R19-1317,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2213 FORAKER, Anchorage, Alaska",119104000,NA,PARK BLK   P LT 18  G:1526,"15,000.00"
R19-1318,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2910 JONES AVE, Anchorage, Alaska",1005106000,NA,GLEN PARK ESTATES BLK  4 LT   4  G:1625,"11,000.00"
R19-1329,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"4321 RENDEZVOUS, Anchorage, Alaska",723452000,NA,CHUGACH FOOTHILLS #2 BLK  6 LT  25  G:1741,"9,682.00"
R19-1330,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"15040 OLD SEWARD, Anchorage, Alaska",1829109000,NA,CHENOWETH LT  3  G:3134,"13,990.00"
R19-1332,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1335 I STREET, Anchorage, Alaska",109139000,NA,SOUTH ADDITION BLK 37A LT   8  G:1429,"15,765.00"
R19-1334,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1035 P, Anchorage, Alaska",108404000,NA,SOUTH ADDITION BLK 15A LT   8  G:1329,"16,727.00"
R19-1354,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2901 ILLIAMNA, Anchorage, Alaska",118508000,NA,TURNAGAIN HEIGHTS TR   C LT 38  G:1527,"15,000.00"
R19-1355,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2920 WILEY POST, Anchorage, Alaska",1013135000,NA,BROADMOOR ESTATES #3 BLK  7 LT  37  G:1727,"10,000.00"
R19-1356,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"4210 WORONZOF, Anchorage, Alaska",1005370000,NA,TURNAGAIN WEST BLK  2 LT  15  G:1625,"14,000.00"
R19-1368,BldgAlter,ANCHORAGE SOLAR,2019,2019,"2808 DILIGENCE CIRCLE, Anchorage, Alaska",1912255000,NA,DISCOVERY LT 17A  G:2727,"46,665.00"
R19-1397,BldgAlter,ANCHORAGE SOLAR,2019,2019,"E 359 24TH, Anchorage, Alaska",220326000,NA,PEARL V SMITH BLK  2 LT   3A  G:1531,"21,240.00"
R19-1398,BldgAlter,ANCHORAGE SOLAR,2019,2019,"E 225 11TH, Anchorage, Alaska",213644000,NA,THIRD ADDITION BLK 13 LT  11  G:1331,"15,666.00"
R19-1399,BldgAlter,ANCHORAGE SOLAR,2019,2019,"7240 STAMPS CIRCLE, Anchorage, Alaska",1506252000,NA,SILVER CREST BLK  2 LT  21  G:2439,"20,800.00"
R19-1400,BldgAlter,ANCHORAGE SOLAR,2019,2019,"1737 SCENIC, Anchorage, Alaska",110250000,NA,SCHODDE (SOUTH ADD) BLK 32 LT  10  G:1428,"16,164.00"
R19-1419,BldgAlter,RENEWABLE ENERGY SYSTEMS,2019,2019,"10005 GOODNEWS, Anchorage, Alaska",1247130000,NA,BAYSHORE WEST #1 BLK  1 LT   9  G:2526,"26,598.00"
R19-1420,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1307 13TH, Anchorage, Alaska",108497000,NA,SOUTH ADDITION BLK 26C LTS 11 & 12 G:1329,"16,444.00"
R19-1442,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3000 MCCOLLIE AVE, Anchorage, Alaska",118514000,NA,TURNAGAIN HEIGHTS TR  C LT   6  G:1527,"15,000.00"
R19-1443,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2908 LEIGHTON STREET, Anchorage, Alaska",1004464000,NA,WAGNER ESTATES #3 BLK  9 LT  12  G:1626,"10,000.00"
R19-1444,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2917 JONES AVE, Anchorage, Alaska",1005127000,NA,GLEN PARK ESTATES BLK  1 LT   7  G:1625,"18,000.00"
R19-1446,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2858 KNIK, Anchorage, Alaska",123423000,NA,TURNAGAIN HOMES BLK  I LT   5  G:1527,"10,000.00"
R19-1447,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"3023 KNIK, Anchorage, Alaska",123631000,NA,TURNAGAIN HOMES BLK  H LT  19  G:1527,"18,000.00"
R19-1456,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2200 MCKENZIE DRIVE, Anchorage, Alaska",119432000,NA,SIMONSON ESTATES BLK  A LT   1B  G:1526,"12,000.00"
R19-1458,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2850 PRIBILOF, Anchorage, Alaska",1005341000,NA,TURNAGAIN WEST BLK  1 LT  37  G:1625,"8,000.00"
R19-1462,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"2340 CAPTAIN COOK, Anchorage, Alaska",118408000,NA,TURNAGAIN HOMES BLK  F LT  16  G:1527,"18,000.00"
R19-1465,BldgAlter,ANCHORAGE SOLAR,2019,2019,"W 1401 13TH, Anchorage, Alaska",108474000,NA,SOUTH ADDITION BLK 26D LT  11A  G:1329,"15,321.00"
R19-1466,BldgAlter,ANCHORAGE SOLAR,2019,2019,"941 DAVID PLACE, Anchorage, Alaska",107230000,NA,L STREET SLIDE REPLAT PHASE 2 BLK 13 LT   4A  G:1328,"8,762.00"
R19-1467,BldgAlter,ARCTIC SOLAR VENTURES CORPORATION,2019,2019,"4220 GALACTICA, Anchorage, Alaska",1006144000,NA,SATELLITE PARK BLK  3 LT   3  G:1625,"12,000.00"
